pooled rows=314053 dates=66
lastgap_spread_wide_gate             x last_mid_gap_ticks                   n= 314053 rho=+1.000  <<< HIGH
ofi_15sz_spread_wide_gate            x ofi_15s_z_120s                       n= 311023 rho=+1.000  <<< HIGH
oir_mom_spread_wide_gate             x oir_mom_60s                          n= 312733 rho=+1.000  <<< HIGH
top5div_spread_wide_gate             x top5_book_div_z_300s                 n= 307519 rho=+0.999  <<< HIGH
lastgap_z_cross_vel_15s              x lastgap_zvel_extreme_15s             n= 307189 rho=+0.896  <<< HIGH
oir_zaccel_extreme_15s               x wdi_zaccel_extreme_15s               n= 306859 rho=+0.861  <<< HIGH
ofi_concord_x_spread_z               x ofi_persist_x_spread_z               n= 307456 rho=+0.826
rv_asym_300s                         x mid_roll_range_pos_300s              n= 282613 rho=+0.794
conc_imb_z_300s                      x hidden_bid_support_z_300s            n= 307519 rho=-0.792
ofi_concord_wide_gate                x ofi_persist_wide_gate                n= 307456 rho=+0.791
rv_asym_300s                         x iopv_vel_drift_300s                  n= 299668 rho=+0.784
flow_divergence_120s                 x flow_divergence_300s                 n= 305787 rho=+0.783
conc_imb_z_300s                      x top5_book_div_z_300s                 n= 307519 rho=+0.778
top5div_spread_wide_gate             x conc_imb_z_300s                      n= 307519 rho=+0.778
wdi_mom_30s                          x depth5_delta_30s                     n= 313393 rho=+0.767
mid_day_range_pos                    x dev_from_open_bps                    n= 313860 rho=+0.767
oir_zcross_x_rvhi                    x oir_z_cross_vel_15s                  n= 298306 rho=+0.763
flow_divergence_120s                 x flow_divergence_60s                  n= 309987 rho=+0.763
wdi_z_cross_vel_15s                  x oir_z_cross_vel_15s                  n= 307189 rho=+0.740
wdi_zaccel_extreme_15s               x wdi_zvel_extreme_15s                 n= 306859 rho=+0.739
wdi_zvel_extreme_15s                 x depth5_imb_zvel_extreme_15s          n= 307189 rho=+0.738
div_pos_frac_300s                    x hidden_imb_pos_frac_300s             n= 307519 rho=-0.733
range_pos_x_spread_z                 x dev_open_x_spread_z                  n= 307519 rho=+0.728
